rxcui,ingredient_rxcui,ndc11,name,tty,ingredient_name
997223,135447,70518166600,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,70518166601,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71093012801,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71093012803,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71093012805,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71093012806,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71209002001,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71209002004,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71209002011,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335041601,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335041602,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335041603,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335058201,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335058202,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335058203,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335090001,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335090002,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335090003,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335234601,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335234602,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335234603,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335243601,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335243602,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,71335243603,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,72162213700,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,72162213703,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,72162213705,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,72162213709,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,72189026590,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,82009012005,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997223,135447,82009012010,donepezil hydrochloride 10 MG Oral Tablet,SCD,donepezil
997224,135447,58864089530,donepezil hydrochloride 10 MG Oral Tablet [Aricept],SBD,donepezil
997224,135447,62856024630,donepezil hydrochloride 10 MG Oral Tablet [Aricept],SBD,donepezil
997224,135447,63629363201,donepezil hydrochloride 10 MG Oral Tablet [Aricept],SBD,donepezil
997224,135447,66105073701,donepezil hydrochloride 10 MG Oral Tablet [Aricept],SBD,donepezil
997224,135447,66105073703,donepezil hydrochloride 10 MG Oral Tablet [Aricept],SBD,donepezil
997224,135447,66105073706,donepezil hydrochloride 10 MG Oral Tablet [Aricept],SBD,donepezil
997224,135447,66105073709,donepezil hydrochloride 10 MG Oral Tablet [Aricept],SBD,donepezil
997224,135447,66105073715,donepezil hydrochloride 10 MG Oral Tablet [Aricept],SBD,donepezil
997224,135447,67544009215,donepezil hydrochloride 10 MG Oral Tablet [Aricept],SBD,donepezil
997226,135447,00781527664,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,29300025011,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,29300025087,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,33342002906,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,33342002907,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,33342002912,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,33342002960,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,42658011901,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,42658011904,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,42658011908,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,42658011951,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,59762025001,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997226,135447,68382034606,donepezil hydrochloride 5 MG Disintegrating Oral Tablet,SCD,donepezil
997229,135447,00378514405,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00378514477,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00378514493,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00615795105,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00615795130,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00615795139,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00781527406,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00781527410,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00781527413,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00781527431,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00781527492,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,00904647761,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,13668010205,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,13668010210,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,13668010230,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,13668010240,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,13668010274,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,13668010290,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,16571077803,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,16571077809,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,16571077810,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,16571077850,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,29300024801,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,29300024810,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,29300024813,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,29300024819,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,31722013910,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,31722073701,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,31722073705,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,31722073730,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,31722073731,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,31722073790,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,33342002707,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,33342002710,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,33342002712,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,33342002715,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,33342002731,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,33342002744,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,42543070201,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,42543070205,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,42543070210,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,42543070230,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,42543070290,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,42582031109,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,42582031130,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,43547027503,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,43547027509,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,43547027511,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,43547087803,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,43547087809,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,43547087811,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,46708029510,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,46708029530,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
997229,135447,46708029590,donepezil hydrochloride 5 MG Oral Tablet,SCD,donepezil
